,ngdp,rgdp
2007-03-31,274061.7,346675.0
2007-06-30,280666.0,352543.6
2007-09-30,285548.7,356718.2
2007-12-31,294264.9,363742.3
2008-03-31,294845.2,366484.8
2008-06-30,302275.8,367818.8
2008-09-30,305991.5,370260.1
2008-12-31,299860.5,357768.2
2009-03-31,301904.4,358711.7
2009-06-30,310712.6,363561.0
2009-09-30,320180.5,374652.0
2009-12-31,322508.0,377396.3
2010-03-31,334477.3,386238.5
2010-06-30,343685.5,392479.0
2010-09-30,347423.4,396469.6
2010-12-31,353874.0,402066.0
2011-03-31,355795.0,405904.8
2011-06-30,358455.7,407666.7
2011-09-30,363290.8,409552.3
2011-12-31,371034.1,412298.9
2012-03-31,373759.2,416240.7
2012-06-30,374345.7,417998.0
2012-09-30,376166.8,419861.6
2012-12-31,380402.4,422987.5
2013-03-31,385330.9,426342.4
2013-06-30,390551.3,431160.1
2013-09-30,395650.5,435484.7
2013-12-31,399405.5,439300.3
2014-03-31,405391.6,442669.9
2014-06-30,407901.8,446872.4
2014-09-30,409878.0,448023.5
2014-12-31,415313.3,450409.2
2015-03-31,428801.5,454302.8
2015-06-30,432478.7,456256.6
2015-09-30,438155.4,463025.5
2015-12-31,441340.3,466604.0
2016-03-31,451416.2,468389.8
2016-06-30,458317.9,474262.9
2016-09-30,458207.3,476110.0
2016-12-31,465085.3,479788.4
2017-03-31,474638.4,485158.6
2017-06-30,478447.8,488738.1
2017-09-30,492789.8,495481.4
2017-12-31,488357.8,494353.9
2018-03-31,495452.0,501537.0
2018-06-30,499718.2,505472.9
2018-09-30,505977.3,508102.0
2018-12-31,505826.9,510990.4
2019-03-31,503278.6,511286.6
2019-06-30,509921.7,518083.3
2019-09-30,511033.6,519196.8
2019-12-31,516360.4,524415.7
2020-03-31,509696.2,517669.6
2020-06-30,504022.6,503484.6
2020-09-30,518659.7,514605.8
2020-12-31,526088.0,522706.6
2021-03-31,537581.9,530771.1
2021-06-30,550938.1,537903.8
2021-09-30,561669.0,538085.7
2021-12-31,571723.9,546662.2
2022-03-31,577725.8,549303.7
2022-06-30,584092.2,553684.8
2022-09-30,580971.1,555841.5
2022-12-31,580992.4,553328.9
2023-03-31,589067.0,555761.1
2023-06-30,595239.6,558825.9
2023-09-30,603056.6,563035.7
2023-12-31,613826.2,565597.6
